Stage,Date,Time,Artist
What Stage,Thursday June 13 2024,8:30 PM - 12:15 AM,Pretty Lights -2 sets-
What Stage,Friday June 14 2024,3:00 PM - 4:00 PM,Larkin Poe
What Stage,Friday June 14 2024,4:45 PM - 5:45 PM,The Driver Era
What Stage,Friday June 14 2024,5:45 PM - 6:45 PM,Gary Clark Jr
What Stage,Friday June 14 2024,6:45 PM - 7:45 PM,Dominic Fike
What Stage,Friday June 14 2024,8:45 PM - 10:00 PM,Khruangbin
What Stage,Friday June 14 2024,11:00 PM - 12:30 AM,Post Malone
What Stage,Friday June 14 2024,12:30 AM - 1:45 AM,T-Pain
What Stage,Saturday June 15 2024,2:45 PM - 3:45 PM,The Maine
What Stage,Saturday June 15 2024,4:30 PM - 5:30 PM,The Teskey Brothers
What Stage,Saturday June 15 2024,5:30 PM - 6:30 PM,Brittany Howard
What Stage,Saturday June 15 2024,6:30 PM - 7:30 PM,Jon Batiste
What Stage,Saturday June 15 2024,8:30 PM - 9:45 PM,Cage the Elephant
What Stage,Saturday June 15 2024,10:45 PM - 12:15 AM,Red Hot Chili Peppers
Which Stage,Thursday June 13 2024,,No shows listed
Which Stage,Friday June 14 2024,2:00 PM - 3:00 PM,49 Winchester
Which Stage,Friday June 14 2024,3:45 PM - 4:45 PM,Japanese House
Which Stage,Friday June 14 2024,7:45 PM - 8:45 PM,Lizzy McAlpine
Which Stage,Friday June 14 2024,8:45 PM - 11:00 PM,Maggie Rogers
Which Stage,Friday June 14 2024,12:00 AM - 1:00 AM,SVDDEN DEATH
Which Stage,Friday June 14 2024,1:15 AM - 2:15 AM,Seven Lions
Which Stage,Saturday June 15 2024,2:00 PM - 3:00 PM,Ryan Beatty
Which Stage,Saturday June 15 2024,3:45 PM - 4:45 PM,D4VD
Which Stage,Saturday June 15 2024,7:45 PM - 8:45 PM,Renée Rapp
Which Stage,Saturday June 15 2024,9:45 PM - 10:45 PM,Cigarettes After Sex
Which Stage,Saturday June 15 2024,12:15 AM - 1:45 AM,Melanie Martinez
The Other Stage,Thursday June 13 2024,7:45 PM - 8:45 PM,HONEYLUUV
The Other Stage,Thursday June 13 2024,9:00 PM - 10:00 PM,IT'S MURPH
The Other Stage,Thursday June 13 2024,10:15 PM - 11:15 PM,DISCO LINES
The Other Stage,Thursday June 13 2024,11:30 PM - 12:30 AM,Oliver Heldens
The Other Stage,Thursday June 13 2024,12:45 AM - 2:00 AM,FISHER
The Other Stage,Friday June 14 2024,3:00 PM - 3:45 PM,IVY
The Other Stage,Friday June 14 2024,4:00 PM - 5:00 PM,LYNY
The Other Stage,Friday June 14 2024,6:15 PM - 7:15 PM,Hamdi
The Other Stage,Friday June 14 2024,7:45 PM - 8:45 PM,Shy FX
The Other Stage,Friday June 14 2024,9:00 PM - 10:00 PM,Dr. Fresch
The Other Stage,Friday June 14 2024,10:15 PM - 11:15 PM,ISOXO
The Other Stage,Saturday June 15 2024,3:45 PM - 4:45 PM,Lovra
The Other Stage,Saturday June 15 2024,5:00 PM - 6:00 PM,Vandelux
The Other Stage,Saturday June 15 2024,6:15 PM - 7:15 PM,Neil Frances
The Other Stage,Saturday June 15 2024,7:30 PM - 8:30 PM,Kasablanca
The Other Stage,Saturday June 15 2024,8:45 PM - 9:45 PM,Whyte Fang
The Other Stage,Saturday June 15 2024,10:00 PM - 11:00 PM,Knock2
The Other Stage,Saturday June 15 2024,1:00 AM - 3:00 AM,Diplo
This Tent,Thursday June 13 2024,2:00 PM - 2:45 PM,Matt Maltese
This Tent,Thursday June 13 2024,3:15 PM - 4:00 PM,EGGY
This Tent,Thursday June 13 2024,4:30 PM - 5:15 PM,OCIE ELLIOTT
This Tent,Thursday June 13 2024,6:00 PM - 7:00 PM,Durand Bernarr
This Tent,Thursday June 13 2024,9:30 PM - 10:30 PM,BIGXTHAPLUG
This Tent,Thursday June 13 2024,11:15 PM - 12:15 AM,MILITARIE GUN
This Tent,Thursday June 13 2024,1:00 AM - 2:00 AM,GWAR
This Tent,Friday June 14 2024,1:30 PM - 2:15 PM,Baby Queen
This Tent,Friday June 14 2024,3:00 PM - 3:45 PM,Bonny Light Horseman
This Tent,Friday June 14 2024,4:30 PM - 5:30 PM,MIKE.
This Tent,Friday June 14 2024,6:30 PM - 7:30 PM,Jessica Audiffred
This Tent,Friday June 14 2024,6:15 PM - 7:15 PM,Grouplove
This Tent,Friday June 14 2024,8:00 PM - 9:00 PM,TV Girl
This Tent,Friday June 14 2024,9:45 PM - 11:00 PM,Interpol
This Tent,Saturday June 15 2024,1:30 PM - 2:15 PM,Trousdale
This Tent,Saturday June 15 2024,2:45 PM - 3:45 PM,Josiah and the Bonnevilles
This Tent,Saturday June 15 2024,4:30 PM - 5:30 PM,Bakar
This Tent,Saturday June 15 2024,6:30 PM - 7:30 PM,Sean Paul
This Tent,Saturday June 15 2024,8:30 PM - 10:30 PM,The Dashboard Confessional Emo Superjam
That Tent,Thursday June 13 2024,2:00 PM - 3:15 PM,Michigander
That Tent,Thursday June 13 2024,3:45 PM - 4:30 PM,SAY SHE SHE
That Tent,Thursday June 13 2024,5:00 PM - 5:45 PM,SID Sriram
That Tent,Thursday June 13 2024,6:30 PM - 7:30 PM,Medium Build
